Reference,Prediction
mv̩˧ɖɯ˩qo˩qɑ˩mæ˩no˩|kɤ˧sɑ˥ɕi˩ʁwɤ˩bi˩mæ˩no˩|pi˧|õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩|kʰi˧mi˧ʈʂʰɯ˧|wɤ˩˥|tʰi˧mæ˩|tʰi˩˥|wɤ˩˥|dʑɤ˩hĩ˥qo˩mæ˩zo˩kv̩˩pi˩|,mv[UNK]˧ɖɯ[UNK]˩qo˩qɑ˩mæ˩no˩ kɤ˧˥sɑ˧ ɕi˧ʁwɤ˩bi˩mæ˩no˩ pi˧ o[UNK]˧ʈʂ[UNK]ɯ˧ne˧ʝi˥ zo˩ k[UNK]i˧mi˧ʈʂ[UNK]ɯ˧ wɤ˩ t[UNK]i˧mæ˩t[UNK]v[UNK]˩wɤ˩ dʑɤ˩hi[UNK]˥qo˩mæ˩zo˩kv[UNK]˩ pi˧
ĩ˧|gv̩˧wo˥hĩ˩ʈʂʰɯ˩dʑo˩|tʰi˩˥|tsʰe˩hõ˩pʰo˥ɲi˩ze˩mæ˩|,ə[UNK]gv[UNK]˧wo˥hi[UNK]˩ʈʂ[UNK]ɯ˧dʑo˩ t[UNK]i˩˥ ts[UNK]e˩ho[UNK]˩p[UNK]o˥ɲi˩ze˩mæ˩
tʰi˩˥|wɤ˩˥|sɑ˧bo˧|ʈʂʰɯ˧ne˧ʝi˥|le˧bo˧|le˧bo˧|le˧bo˧|le˧bo˧|,t[UNK]i˩˥ wɤ˩˥ sɑ˧bɤ˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧bo˧ le˧bo˧ le˧bo˧ le˧bo˧
kʰv̩˩mi˩˥|le˧ʂɯ˧bi˧bi˧bi˧pi˧|zo˩no˥|njæ˧sɯ˩kv̩˩|kʰv̩˩mi˩˥|kʰv̩˩mi˩˥|ɑ˩ʁo˥|le˧ʐɤ˧|le˧ʂɯ˧bi˧bi˧|le˧ʂɯ˧ɖɯ˧ɲi˧|ɑ˩pʰo˩˥|si˧dzi˩ʈʰæ˩ʈʰæ˩qo˩|nv̩˧kʰi˩dʑo˩|ʂe˧|ɖɯ˧pʰæ˧ʑi˧˥|qwæ˩ʈʂæ˩qo˥|tʰi˧ʈʰæ˧kʰɯ˥|,k[UNK]v[UNK]˩mi˩˥ le˧ʂɯ˧bi˧bi˧bi˧ zo˩no˥ njæ˧sɯ˩kv[UNK]˩ k[UNK]v[UNK]˩mi˩˥ k[UNK]v[UNK]˩mi˩˥ ɑ˩ʁo˧ le˧ʐɤ˧ le˧ʂɯ˧bi˧bi˧ le˧ʂɯ˧ ɖɯ˧ɲi˥ ɑ˩p[UNK]o˧˥ si˧ʈ[UNK]æ˩æ˩ ʈ[UNK]æ˧ɻæ˥qwæ˥ nv[UNK]˧k[UNK]i˧dʑo˩ ʂe˧ ɖɯ˧p[UNK]æ˧ʑi˧˥ qw˩ʈʂæ˩qo˥ t[UNK]i˧ʈ[UNK]æ˧k[UNK]ɯ˥
zo˩no˥|ʈʂʰæ˧ɣɯ˧ɲi˥pi˩hĩ˩tʰv̩˩kʰwɤ˩|,zo˩no˥ ʈʂ[UNK]æ˧ɣɯ˧ɲi˩pi˩hi[UNK]˩t[UNK]v[UNK]˩kv[UNK]˩
mmm…dzi˧dzi˧ʈʰæ˧qo˩di˩hĩ˩dʑo˩|mo˩kv̩˥dʑo˩|zo˩no˥|dʑɯ˩si˩bi˥di˩ɲi˩mæ˩|,mm[UNK]dʑɯ˧dzi˧ʈ[UNK]æ˧qo˩di˩hi[UNK]˩dʑo˩ mo˩kv[UNK]˥dʑo˩ zo˩no˥ dʑɯ˩sɯ˩bi˥di˩ɲi˩mæ˩
ə˧ʝi˧tsʰi˧ʝi˧ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|hɑ˧ɭɯ˧ʈʂʰɯ˧|le˧pʰv̩˧˥|le˧tɕɤ˧˥|le˧tɕɤ˧˥|le˧pʰv̩˧pi˥kv̩˩mæ˩|njæ˧sɯ˩kv̩˩dʑo˩|,ə˧ʝi˧ts[UNK]i˧ʝi˧ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ hɑ˧ɭɯ˧ʈʂ[UNK]ɯ˧ le˧p[UNK]v[UNK]˧˥ le˧tɕɤ˧˥ le˧tɕɤ˧˥ le˧p[UNK]v[UNK]˧pi˧kv[UNK]˩m˩mæ˩ njæ˧sɯ˩kv[UNK]˩dʑo˩
hɑ˧|ɖɯ˧kʰv̩˧˥|ɖɯ˧ʂɯ˩lɑ˩gɤ˩ʂo˩ɲi˩mæ˩|,hɑ˧ ɖɯ˧k[UNK]v[UNK]˧˥ ɖɯ˧ʂɯ˩lɑ˩ gɤ˩ ʂo˧ɲi˩mæ˩
le˧mo˩zo˩|le˧mo˩zo˩|le˧mo˩|hĩ˧lv̩˥|mɤ˧ʁo˧ɲi˥tsɯ˩|mv̩˩|,le˧mo˩zo˩ le˧mo˧zo˩ le˧mo˩ hi[UNK]˧ɳv[UNK]˥ mɤ˧ʁo˧ɲi˥tsɯ˩ mv[UNK]˩
le˧pæ˧se˥hĩ˩kwɤ˩tɕɯ˩lɑ˩|hĩ˧ʈʂʰɯ˧|tʰi˩˥|ɖɯ˧v̩˧mɤ˧go˩|ɖɯ˧v̩˧mɤ˧tsʰi˧˥|,le˧pæ˧se˥kwɤ˩tɕɯ˩lɑ˩ hi[UNK]˧ʈʂ[UNK]ɯ˧ t[UNK]i˩˥ ɖɯ˧v[UNK]˧mɤ˧go˩ ɖɯ˧vwɤ˧mɤ˧ts[UNK]i˧
ʂe˧|ɖɯ˧tɕʰi˩mɤ˩dzɯ˩|hĩ˧ʈʂʰɯ˧|pæ˧qʰwɤ˩|no˩˥|ɖɯ˧pʰæ˧di˩dʑo˩|ɖʐo˧|ʐwæ˩ɲi˥|,ʂe˧ ɖɯ˧tɕ[UNK]i˩mɤ˩dzɯ˩ hi[UNK]˧ʈʂ[UNK]ɯ˧ p[UNK]æ˧q[UNK]wɤ˩ no˧˥ ɖɯ˧bæ˧di˩dʑo˩ ɖʐo˧ ʐwæ˩ɲi˥m
si˧dzi˩ʈʰæ˩qo˩|tʰi˩˥|no˧˥|hĩ˧dv̩˥kv̩˩mɤ˩kv̩˩|mɤ˧sɯ˥|tʰi˧dzɯ˥dʑo˩|ə˧tso˧ɲi˩|mɤ˧do˩|,si˧dzi˩ʈ[UNK]æ˩qo˩ t[UNK]i˩˥ no˧ hi[UNK]˧dv[UNK]˥kv[UNK]˩mɤ˩kv[UNK]˩ mɤ˧sɯ˥ t[UNK]i˧dzɯ˥dʑo˩ ə˧tsɯ˧ɲi˥ mɤ˧do˩
ɲi˧tsi˧qʰv̩˧kv̩˧dʑo˧˥|dʑo˩|ɑ˩ʁo˧|ɖɯ˧tɑ˧˥|ə˧ʑi˧ɳɯ˥|tʰi˧dzi˩ktʰi˧dzi˩|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧dzi˩|,ɲi˧tsi˧q[UNK]wæ˧kv[UNK]˧dʑo˧˥ dʑo˩ ɑ˩ʁo˧ ɖɯ˧tɑ˧˥ ə˧ʑi˧ɳɯ˥ t[UNK]i˧dzi˩ p[UNK]i˧dzi˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ t[UNK]i˧dzi˩
bɑ˩lɑ˩tʰi˥mv̩˩kʰɯ˩se˩|tʰi˩˥|hæ̃˧pɤ˧tʰi˧mv̩˧kʰɯ˧˥|,bɑ˩lɑ˩t[UNK]i˥mv[UNK]˩k[UNK]ɯ˩tse˩  t[UNK]i˩˥ hæ[UNK]˧pɤ˧t[UNK]i˧mv[UNK]˧k[UNK]ɯ˧˥
ʈʰæ˧qʰwɤ˧ʈʂʰɯ˧|ʈʂe˩kʰɯ˩ʈʂʰɯ˥ɳɯ˩|ʈʂʰɯ˧ʁo˥ɳɯ˩|hĩ˧ʈʂʰɯ˧gɤ˧|tsʰɤ˧˥|ɲi˩wɤ˩|wo˧zo˥|,ʈ[UNK]æ˧q[UNK]wɤ˧ʈʂ[UNK]ɯ˧ ʈʂe˩k[UNK]ɯ˧ʈʂ[UNK]ɯ˧ɳɯ˩ ʈʂ[UNK]ɯ˧ʁo˥ɳɯ˩ hi[UNK]˧ʈʂ[UNK]ɯ˧gɤ˧ts[UNK]ɤ˧˥ ɲi˩wɤ˩ wo˧zo˥
tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥kwɤ˩tɕɯ˩lɑ˩|ə˧mi˧|tʰi˩˥|mv̩˧di˧qo˥|hĩ˧ɳɯ˩|ʈʂʰɯ˧ne˧ʝi˥|ʐwɤ˩ɲi˥tsɯ˩|mv̩˩,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥kwɤ˩tɕɯ˩lɑ˩ ə˧mi˧ t[UNK]i˩˥ mv[UNK]˧di˧qo˥ hi[UNK]˧ɳɯ˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ʐwɤ˩ɲi˥tsɯ˩ mv[UNK]˩
ə˧ʝi˧ʂɯ˥ʝi˩|tʰi˩˥|nɑ˩hɑ˥dʑo˩|no˧ɳɯ˧|pi˧ni˧˥|nɑ˩hɑ˥dʑo˩|ə˧mɑ˧ɳɯ˧|pi˧ni˧˥|zo˩|,ə˧ʝi˧ʂɯ˥ʝi˩ t[UNK]i˩˥ nɑ˩hɑ˥dʑo˩ no˧ɳɯ˧ pi˧niæ˧˥ nɑ˩hɑ˥dʑo˩ ə˧mɑ˧ɳɯ˧ pi˧ni˧˥ ʐwo˩
zo˩no˥əəə…|ʐwæ˧tɕɯ˩hĩ˩|ɖɯ˧pi˧˥|hɤ˩hĩ˩˥|tʰo˩lo˥|ɻ̍˩ɻ̍˧lo˩|pi˧|di˩hĩ˩˥|dʑo˩|tsʰo˧pæ˧mv̩˥ʈʂæ˩kv̩˩mæ˩|,zo˩no˥ə[UNK]ʐwæ˧tɕɯ˩h[UNK]˩ ɖɯ˧pi˧˥ hɤ˩hi[UNK]˩˥ t[UNK]o˩lo˧ ɻ[UNK]˧lo˩ pi˧ di˩hi[UNK]˩dʑo˩ ts[UNK]o˧pæ˧mv[UNK]˥ʈʂæ˩kv[UNK]˩mæ˩
tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥se˩dʑo˩|ə˧ʝi˧ʂɯ˥ʝi˩|njɤ˧|ə˧si˧|ʈʂʰɯ˧dʑo˩|zo˩no˥|hĩ˧ɻæ˥|ʁwɤ˧qo˧|ʈʂʰɯ˧ne˧ʝi˥|pi˧kv̩˩|,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥s[UNK]ɯ˩dʑo˩ ə˧ʝi˧ʂɯ˥ʝi˩ njɤ˧ ə˧si˧ʈʂ[UNK]ɯ˧dʑo˩ zo˩no˥ hi[UNK]˧ɻæ˥ ʁwɤ˧qo˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ pi˧kv[UNK]˩
no˧sɯ˩kv̩˩|njɤ˧ɳnjɤ˧ki˧gɤ˩|ʈʂʰɯ˧ne˧ʝi˥|æ˧ʝi˩kʰɯ˩tsʰɯ˩ze˩|pi˧zo˩|ʈʂʰɯ˧ne˧ʝi˥|pi˧kv̩˩tsɯ˩|mv̩˩,no˧sɯ˩kv[UNK]˩ njɤ˧dʑo njɤ˧ki˧bi˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ æ˧ʝi˩k[UNK]ɯ˩ts[UNK]ɯ˩ze˩ pi˧zo˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ pi˧kv[UNK]˩tsɯ˩ mv[UNK]˩
zo˩no˥|hĩ˧|le˧ʂɯ˧|ɖɯ˧tɑ˧˥|ʂɯ˧tso˧lɑ˩ɲi˩|ə˧mi˧|le˧ʂɯ˧|njɤ˧|ʂɯ˧tso˧lɑ˩ɲi˩|pi˧|,ə˩ni˩˥ hi[UNK]˧ le˧ʂɯ˧ ɖɯ˧tɑ˧˥ ʂɯ˧tso˩lɑi ə˧mi˧ le˧ʂe˧ njɤ˧ ʂɯ˧tsɯ˩lɑ˩ɲi˩pi˧
li˩ʈʂwæ˧ɻ̍˧pi˥|,li˩ʈʂʂwæ˧ɻ[UNK]˧pi˥
ʐɤ˩mi˩˥|no˩qo˥hɑ̃˩lɑ˩ɲi˩|dʑɯ˩ʁo˩˥|,ʐɤ˩mi˩˥ no˩qo˧hɑ[UNK]˩lɑ˩ɲ˩ dʑɯ˩ʁo˩˥
ʈʂʰɯ˧ɻ̍˩|tɕʰi˩tʰv̩˩tso˥ɲi˩tsɯ˩|ʈʂʰɯ˧ɻ̍˩|zo˧ɖɯ˧ɳɯ˥|tɕʰi˩tʰv̩˩tso˥ɲi˩tsɯ˩|ə˧sɯ˩kv̩˩|bi˧zo˧ʝi˧|pi˧|,ʈʂ[UNK]ɯ˧ tɕ[UNK]i˩t[UNK]v[UNK]˧tso˥ɲi˩tsɯ˩ ʈʂ[UNK]ɯ˧ zo˧ɖɯ˧ɳɯ˥ tɕ[UNK]i˩t[UNK]v[UNK]˩tso˥ɲi˩tsɯ˩ ə˧sɯ˩kv[UNK]˩ bi˧zo˧ʝi˥ pi˧
tʰi˩˥|əəə…əəə…ɑ˩ʁo˧le˧jo˩kv̩˩mæ˩|tʰi˩˥|,t[UNK]i˩˥ ə[UNK]ɑ˩ʁo˧le˧jo˩kv[UNK]˩mæ˩ t[UNK]i˩˥
kʰɤ˧˥|tʰi˧pɤ˥pɤ˩|dʑɯ˩ʁo˩˥|di˩li˩ʁo˩bv̩˥|le˧ɖʐɤ˧le˥po˩tsʰɯ˩|le˧tɕɤ˧˥|le˧tɕɤ˧˥|,k[UNK]ɤ˧ t[UNK]i˧pɤ˥pɤ˩ dʑɯ˩ʁo˩˥ di˩li˩ʁo˩bv[UNK]˥ le˧ɖʐɤ˧le˥po˩ts[UNK]ɯ˩ le˧tɕɤ˧˥ le˧tɕɤ˧˥
tɕi˩hĩ˩ki˥|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧ʈv̩˩|ʈʂʰɯ˧hwɤ˧mi˧|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧ʈv̩˩|,tɕi˩hi[UNK]˩ki˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧ʈv[UNK]˩ ʈʂ[UNK]o˧hwɤ˧mi˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧ʈv[UNK]˩
hĩ˧mo˩tɕɯ˩di˩ɲi˩|pi˧|dv̩˩pʰæ˧tɕɯ˧|,hi[UNK]˧mo˩tɕɯ˩di˩ɲi˩ pi˧ ɖv[UNK]˩p[UNK]æ˧tɕɯ˥
ə˧mi˧|mv̩˩zo˩˥|ɖɯ˧ɭɯ˧|ə˧mi˧ɖɯ˧jɤ˧˥dʑo˩|bo˩hɑ˧ki˩dʑo˩dʑo˩|,ə˧mi˧ mv[UNK]˩zo˥ ɖɯ˧ɭɯ˧ ə˧mi˧ ɖɯ˧ʝi˥dʑo˩ bo˩hɑ˧ ti˩dʑo˩dʑo˩
ʈʂʰɯ˧hwɤ˧hwɤ˧gv̩˧kv̩˩mv̩˩|,ʈʂ[UNK]ɯ˧ho˩hwɤ˧bo˧kv[UNK]˩mæ˩
əəə…ɑ˩ʁo˧|tɕɯ˧ɲi˥ze˩mæ˩|ɑ˩ʁo˧|le˧tɕɯ˧se˥dʑo˩|tʰi˩˥|ʝi˧lv̩˧kv̩˥ze˩mæ˩|,əə[UNK]ɑ˩ʁo˧tɕɯ˧ɲi˥ze˩mæ˩ ɑ˩ʁo˧ le˧tʑɯ˧se˥dʑo˩ t[UNK]i˩˥ ʝi˧lv[UNK]˧kv[UNK]˥ze˩mæ˩
ʐv̩˧tsʰi˩gv̩˩hɑ̃˩gv̩˩|ɖɯ˧ɲi˥kwɤ˩tɕɯ˩lɑ˩|tʰi˩˥|le˧bv̩˧bv̩˧|,ʐv[UNK]˧ts[UNK]i˩gv[UNK]˩hɑ[UNK]˩gv[UNK]˩ ɖɯ˧ɲi˥kwɤ˩tɕɯ˩lɑ˩ t[UNK]i˩˥ le˧bv[UNK]˧bv[UNK]˥
lo˧ʝi˧|lo˧tʰv̩˧|ɖʐe˧ʂe˧|ɖʐe˧ɖɯ˧|go˩bo˧ʐɤ˩|go˩bo˧dʑɤ˩kʰɯ˩|,lo˧ʝi˧ lo˧t[UNK]v[UNK]˧ ɖʐe˧ʂe˧ ɖʐe˧ɖɯ˧ go˩bo˥ʐɤ˩ go˩bo˥dʑɤ˩k[UNK]ɯ˩
tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥se˩dʑo˩|tʰi˩˥|tsʰe˩so˩kʰv̩˩gv̩˩ze˥|pi˧|tʰi˩˥|dʑi˧hṽ˧hwæ˩kv̩˩ze˩|,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥se˩dʑo˩ t[UNK]i˩˥ ts[UNK]e˩so˩k[UNK]v[UNK]˩gv[UNK]˩ze˥ pi˧ t[UNK]i˩˥ dʑi˧hv[UNK][UNK]˧hwæ˩kv[UNK]˩ze˩
əəə…mv̩˧ʁo˥ki˩ɳɯ˩|gɤ˧gɤ˧lɑ˧ɳɯ˧|mɤ˧ki˧hĩ˧hɑ˧dʑo˩|mvgɤ˧lɑ˧ki˧|ki˧mɤ˧ɖo˧|pi˧zo˩|,əə[UNK]mv[UNK]˧˩ʁo˥ki˩ɳɯ˩ ggɤ˧lɑ˧ɳɯ˧ mɤ˧ki˧hi[UNK]˧hɤ˩dʑo˩ mv[UNK]˧gɤ˧lɑ˧ki˧ ki˧mɤ˧ɖo˧ pi˧zo˩
tʰi˧ʈʂʰv̩˧tsɯ˥|mv̩˩|tʰi˧ʈʂʰv̩˧dʑo˥|tʰi˧ʈʂʰv̩˧˥|njɤ˧ə˧mv̩˩ɲi˩|no˧njɤ˧ə˧mv̩˩ɲi˩|pi˧dʑo˩|tʰi˩˥|,t[UNK]i˧ʈʂ[UNK]ɻ[UNK]˧tsɯ˥ mv[UNK]˩ t[UNK]i˧ʈʂ[UNK]ɻɯ˥ dɕo˩ t[UNK]i˧ʈʂwɤ˩ njɤ˧ ə˧mv[UNK]˩ɲi˩ɳɯ˩ njɤ˧ ə˧mv[UNK]˩ɲi˩pi˩dʑo˩ t[UNK]i˩˥
zo˧mv̩˥zo˩|ɖɯ˧v̩˧ki˧ɳɯ˩|dʑi˧hṽ̩˧ɖɯ˧dzi˩|əəə…mv̩˩zɯ˩ni˥mi˩|no˩sɯ˧kv̩˥|ə˧mmm…ə˧mi˧ki˧|dʑi˧hṽ̩˥|ʈʰæ˧qʰwɤ˧|go˧mi˧ki˧|ʈʰæ˧qʰwɤ˧|ə˧mv̩˩ki˩|ʈʰæ˧qʰwɤ˧|,zo˧mv[UNK]˥zo˩ ɖɯ˧v[UNK]˧ki˧ɳɯ˩ dʑi˧hv[UNK][UNK]˥ ɖɯ˧dzi˩ ə[UNK]mv[UNK]˩zɯ˩ni˥mi˩ no˩sɯ˩kv[UNK]˥ ə˧miə˧mi˧ki˧ dʑo˧hv[UNK][UNK]˥ ʈ[UNK]æ˧q[UNK]wɤ˧ go˧mi˧ki˧ ʈ[UNK]æ˧q[UNK]wɤ˧ ə˧mv[UNK]˩ki˩ ʈ[UNK]æ˧q[UNK]wɤ˧
ɲi˩ɳɯ˥|ə˧tso˧dʑɤ˩kv̩˩pi˩hĩ˩|tʰv̩˧kʰwɤ˥dʑo˩|ʈʰææ̃˧|tʰi˧tɕɯ˥|,ɲiɤ˩ɳɯ˥ ə˧tso˧dʑɤ˩kv[UNK]˩pi˩hi[UNK]˩ t[UNK]v[UNK]˧k[UNK]wɤ˩dʑo˩ t[UNK]ææ[UNK]˧ t[UNK]i˧tɕɯ˥
ʐɯ˧po˧jo˥kv̩˩|ŋv̩˩po˩jo˩kv̩˥|pɤ˩jɤ˧po˥jo˩kv̩˩|ʈʂʰɯ˧ne˧ʝi˥|po˧tsʰɯ˧˥|tʰi˩˥|ʈʂʰɯ˧sɯ˩kv̩˩|qo˩ho˧qo˥|wɤ˩˥|le˧wo˥|li˩tʰi˥kʰɯ˩|,ʐɯ˧po˧jo˩kv[UNK]˩ ŋv[UNK]˩po˩jo˩kv[UNK]˥ pɤ˩jɤ˧po˧jo˩kv[UNK]˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ po˧ts[UNK]ɯ˧˥ t[UNK]i˩˥ ʈʂ[UNK]ɯ˧sɯ˩kv[UNK]˩ qo˩ho˧qo˥ wɤ˩˥ le˧wo˥ li˩t[UNK]i˥k[UNK]ɯ˩
tʰi˩˥|tsɤ˧ʝi˧|pi˧hĩ˧ʈʂʰɯ˧dʑo˩|tʰi˩˥|əəə…njæ˧sɯ˩kv̩˩bv̩˩|ɬi˧ki˥ʈʰæ˩ki˩|tsʰe˩so˩kʰv̩˩hĩ˥ʈʂʰɯ˩dʑo˩|no˧|tʰi˧tɕɯ˥|,t[UNK]i˩˥ tsɤ˧ʝi˧ pi˧hi[UNK]˧ ʈʂ[UNK]ɯ˧dʑo˩ t[UNK]i˩˥ əə[UNK]njæ˧sɯ˩kv[UNK]˩ bv[UNK]˩ ɬi˧ki˥ʈ[UNK]æ˩ki˩ ts[UNK]e˩so˩k[UNK]v[UNK]˩ho˥hi[UNK]˥ ʈʂ[UNK]ɯ˧dʑo˩ no˧˥ t[UNK]i˧tɕɯ˥
wɤ˩˥|ɖɯ˧v̩˧tsʰɯ˩|ɖɯ˧ʂɯ˩ti˩|õ˧ʈʂʰɯ˧ne˧ʝi˥|zo˩|tʰi˩˥|no˩˥|mmm…ɬi˧ki˥ʈʰæ˩ki˩dʑo˩|ʈʂʰɯ˧ne˧ʝi˥kv̩˩mæ˩|,wɤ˩˥ ɖɯ˧v[UNK]˧ts[UNK]ɯ˩ ɖɯ˧ʂɯ˩ti˩ o[UNK]˧ʈʂ[UNK]ɯ˧ne˧ʝi˥zo˩ t[UNK]i˩˥ no˧˥ m[UNK]k[UNK]i˧ki˧ʈ[UNK]æ˩tɕi˩dʑo˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥kv[UNK]˩mæ˩
əəə|tʰi˩˥|hĩ˧ɻæ˥|ə˧mi˧ɻæ˩ɳɯ˩|ʈʂʰɯ˧ɻæ˩qo˩|tʰi˧dzi˩|,əə[UNK]t[UNK]i˩˥ hi[UNK]˧ɻæ˥  ə˧mi˧ɻæ˩ɳɯ˩ ʈʂ[UNK]ɯ˧əɑ˩qo˧ t[UNK]i˧dzi˩
le˧ɬi˧ɲi˥ze˩mæ˩|,le˧ɬo˧ɲi˥ze˩mæ˩
mv̩˩pʰæ˧bi˧|kʰi˧|ɖɯ˧pɤ˩tʰi˩di˩|,mv[UNK]˩p[UNK]æ˧bi˧ k[UNK]i˧ ɖɯ˧pɤ˧t[UNK]i˧di˩
ʐæ˩˥|dʑo˩|ə˧mi˧ʈʰæ˧kv̩˥|lɑ˧dʑo˧|ə˧dɑ˥ʈʰæ˩kv̩˩|no˧|ɖwæ˩mɤ˧zo˧|,ʐæ˩˥ dʑo˩ ə˧mi˧ʈ[UNK]æ˧kv[UNK]˥ lɑ˧dʑo˧ ə˧dɑ˥ʈ[UNK]æ˩˧kv[UNK]˩ no˧ ɖwæ˩mɤ˧zo˧
tʰv̩˧|le˧ʈʂʰv̩˩pi˩|əəə…dzi˧dzi˧ʈʰæ˧qo˩di˩hĩ˩ɖʐɤ˩kv̩˩mv̩˩|,t[UNK]v[UNK]˧ le˧ʈʂ[UNK]v[UNK]˩ pi˧ ə[UNK]dʑɯ˧dzɯ˧ʈ[UNK]æ˧qo˩di˩hi[UNK]˩ ɖʐɤ˩kv[UNK]˩˥mæ˩
nɑ˩tsʰi˩˥|əəə…nɑ˩tsʰi˩tɕʰɤ˩pɤ˩mi˥dʑɯ˩lɑ˩|qv̩˧ɻ̍˧ʈʂʰæ˧nɑ˥pi˩hĩ˩ʈʂʰɯ˩|tʰv̩˧qo˧ɳɯ˧|tʰv̩˧neʝi˥|le˧tsʰɯ˩kwɤ˩tɕɯ˩lɑ˩|tʰi˩˥|ʈʂʰæ˧nɑ˥pi˩hĩ˩tʰv̩˩|ʁɑ˩ʂɯ˧|ʈʂʰæ˧˥|ɖɯ˧pʰo˧˥|tʰi˧ʈʰi˧˥|tʰi˩˥|dʑɯ˩ʈʂʰɯ˥|dʑɤ˩ʈʂɤ˧ɲi˥tsɯ˩|mv̩˩|ə˧ʝi˧ʂɯ˥ʝi˩|,nɑ˩ts[UNK]i˩˥ ə[UNK]nɑ˩ts[UNK]i˩˥tɕ[UNK]ɤ˩pɤ˩mi˥dzʑi˩lɑ˩ qv[UNK]˧ɻ[UNK]˧ʈʂ[UNK]æ˧nɑ˥ pi˩hi[UNK]˩t[UNK]v[UNK]˩ ʈʂ[UNK]ɯ˧qo˧ɳɯ˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ˧ts[UNK]ɯ˩kwɤ˩tɕɯ˩lɑ˩ t[UNK]i˩˥ ʈʂ[UNK]æ˧nɑ˥pi˩hi[UNK]˩ʈʂ[UNK]ɯ˩ʁɑ˩ʂɯ˩ ʈʂ[UNK]æ˧˥ ɖɯ˧p[UNK]o˧t[UNK]i˧ʈ[UNK]i˥ t[UNK]i˩˥ dʑɯ˩ʈʂ[UNK]ɯ˥ dʑɤ˩ʈʂɤ˧ɲi˥tsɯ˩ mv[UNK]˩ ə˧ʝi˧ʂɯ˥ʝi˩
hɑ˧ʐwɤ˩dʑo˩|tʰi˩˥|ɖɯ˧ʑi˩ɻ̍˩dʑo˩|hĩ˧ʈʂʰɯ˧|əəə…ə˧dɑ˧ə˧mi˧ɲi˥kv̩˩|zo˧mv̩˥|dʑɤ˩so˧ɭɯ˩dʑo˩tsɯ˩|mv̩˩|,hɑ˧ʐwɤ˩ dʑo˩ t[UNK]i˩˥ ɖɯ˧ʑi˩ɻ[UNK]˩dʑo˩ hi[UNK]˧ʈʂ[UNK]ɯ˧ əə[UNK]ə˧dɑ˧ə˧mi˧ɲi˥kv[UNK]˩ zo˧mv[UNK]˥ dʑɤ˩so˧ɭɯ˧dʑo˩tsɯ˩ mv[UNK]˩
njɤ˧ɻ̍˩|tsɤ˧ze˧|qɑ˩qɑ˧bi˧|pi˧|,njɤ˧ɻ[UNK]˩ tsɤ˧ze˥ qɑ˩qɑ˧bi˧ pi˧
ɖɯ˧kʰwɤ˧mv̩˥tɕo˩kʰv̩˩|ɖɯ˧kʰwɤ˧dʑo˧|ɖɯ˧kʰwɤ˧mv̩˥tɕo˩kʰv̩˩|ɖɯ˧kʰwɤ˧dʑo˧dʑo˩|tʰi˩˥|mv̩˧ʁo˧hĩ˧|ɖɯ˩hĩ˩tʰv̩˥tɕi˩ɳɯ˩|le˧sɯ˥|tʰi˩˥|le˧sɯ˥dʑo˩|tʰi˩˥|dze˧ɭɯ˧ki˧ɲi˥tsɯ˩|mv̩˩|,ɖɯ˧k[UNK]wɤ˧mv[UNK]˥tɕ[UNK]o˩k[UNK]v[UNK]˩ ɖɯ˧k[UNK]wɤ˧ɖʑo˩ ɖɯ˧k[UNK]wɤ˧mv[UNK]˥tɕo˩k[UNK]v[UNK]˩ ɖɯ˧k[UNK]wɤ˧dʑo˩dʑo˩ t[UNK]i˩˥ mv[UNK]˧ʁo˧hi[UNK]˧ ɖɯ˩hi[UNK]˩tɕ[UNK]o˥ɳɯ˩ le˧sɯ˥ t[UNK]i˩˥ le˧sɯ˧dʑo˥ t[UNK]i˩˥ dze˧ɭɯ˧ki˧ɲi˥tsɯ˩ mv[UNK]˩
